Год,"ВВП Ирана, млрд долл США","ВВП России (СССР), млрд долл США","ВВП Венесуэлы, млрд долл США","ВВП Сирийской республики, млрд долл США","Биржевая цена на нефть, долл / бар (Brent)",Биржевая цена на природный газ в ЕС.  долл / тыс куб. м.,Биржевая цена на природный газ с США.  долл / тыс куб. м.,Биржевая цена на зерно.  долл /т.,Торговые санкции,Санкции в ВПК,Санкции военного сотрудничества,Санкции в финансовой сфере,Санкции в сфере туризма,Другие санкции,Всего
1980,95.85,940.4,69.84,13.06,37.89,137.6,51.8,441.36,33,16,15,43,5,16,128
1981,101.48,906.3,78.37,16.76,36.68,150.0,64.65,395.44,35,15,14,46,9,17,136
1982,125.8,959.9,80.0,17.53,33.42,145.1,80.36,338.52,41,20,12,53,15,21,162
1983,156.93,993.1,79.67,18.67,29.55,132.0,84.51,354.4,37,18,11,50,17,21,154
1984,161.72,938.3,57.83,19.2,28.28,122.6,86.54,355.0,35,18,9,46,14,20,142
1985,180.54,914.1,59.87,21.2,27.56,119.0,81.85,322.84,38,18,9,41,6,17,129
1986,208.93,946.9,60.88,25.46,14.43,119.0,63.08,300.12,41,22,10,48,8,19,148
1987,277.02,888.3,46.85,32.54,18.44,84.4,54.2,287.08,44,23,14,53,10,25,169
1988,311.93,866.7,60.38,16.57,14.92,76.9,54.83,367.88,40,24,15,56,8,22,165
1989,379.43,921.8,44.67,18.61,18.23,68.1,55.3,402.16,44,26,17,58,10,23,178
1990,581.01,1052.1,48.39,23.9,23.73,91.9,55.35,306.8,50,29,25,67,9,24,204
1991,304.07,856.32,53.38,27.76,20.0,101.51,48.45,208.92,50,35,27,75,10,20,217
1992,50.47,71.6,60.4,33.11,19.32,83.4,57.75,363.95,55,45,34,85,15,22,256
1993,64.45,196.23,59.87,36.86,16.97,87.1,69.15,334.52,60,44,35,91,19,21,270
1994,79.82,293.77,58.36,45.09,15.82,79.64,62.58,355.54,60,49,36,77,22,21,265
1995,114.94,335.78,77.43,50.87,17.02,88.91,56.15,429.46,49,42,31,64,21,20,227
1996,158.03,412.69,70.54,61.55,20.67,92.75,89.13,471.08,42,47,33,74,21,20,237
1997,184.14,433.7,85.68,66.42,19.09,89.26,80.9,363.33,37,45,29,79,26,22,238
1998,205.0,287.67,91.84,70.42,12.72,78.75,68.03,286.83,43,48,32,78,26,20,247
1999,275.09,209.66,97.52,72.97,17.97,69.46,73.9,257.98,42,51,34,77,23,20,247
2000,366.92,278.26,117.6,80.59,28.5,125.77,140.46,257.85,47,55,40,74,29,23,268
2001,330.98,328.48,123.12,86.77,24.44,132.28,128.95,272.54,47,55,43,75,30,21,271
2002,132.68,370.06,95.26,90.56,25.02,99.48,109.37,323.52,47,48,38,66,34,22,255
2003,158.42,461.52,83.68,95.69,28.83,127.34,179.03,336.85,53,48,48,62,35,18,264
2004,188.96,633.29,112.25,112.86,38.27,139.45,192.18,341.81,44,43,41,56,29,15,228
2005,228.43,817.72,143.38,134.2,54.52,206.26,290.64,322.19,42,48,45,63,37,18,253
2006,272.36,1063.3,178.52,153.8,65.14,276.15,219.05,408.58,60,48,46,78,50,18,300
2007,360.93,1393.3,232.86,180.03,72.39,278.9,227.6,655.04,55,50,42,81,49,20,297
2008,425.7,1780.3,306.76,218.09,97.26,437.05,288.74,743.93,54,53,45,81,51,22,306
2009,440.41,1315.2,268.62,224.56,61.67,283.93,128.77,530.22,59,58,46,88,61,31,343
2010,517.9,1634.4,318.28,252.52,79.5,270.17,142.95,593.49,66,61,48,89,60,34,358
2011,625.43,2052.1,316.48,73.62,111.26,342.79,130.36,714.34,82,70,58,120,72,38,440
2012,421.88,2194.3,372.75,44.12,111.67,374.04,89.7,769.69,91,72,67,137,77,39,483
2013,428.32,2293.7,258.99,22.55,108.66,252.82,131.5,684.56,100,77,66,140,75,36,494
2014,460.81,2051.5,214.87,22.08,98.95,235.06,149.56,587.57,116,84,67,162,91,38,558
2015,408.29,1365.1,125.45,17.62,52.39,153.79,90.49,505.08,111,83,64,153,87,30,528
2016,458.04,1284.5,112.91,12.45,43.73,115.0,83.84,435.86,112,82,63,151,88,29,525
2017,486.83,1584.7,115.88,16.34,54.19,141.7,100.49,443.06,84,70,58,133,92,33,470
2018,516.22,1658.8,102.08,21.45,71.31,176.46,108.2,505.42,88,70,58,144,92,30,482
2019,651.52,1705.5,74.42,65.1,64.21,120.13,86.5,495.61,84,65,54,148,93,29,473
2020,971.22,1485.8,44.95,66.402,41.84,85.67,67.21,554.93,87,63,56,154,102,34,496
2021,1594.2,1785.5,59.51,67.73004,79.41,325.46,140.94,707.64,95,65,62,167,107,39,535
2022,1974.5,2135.5,82.15,69.0846408,94.83,1140.0,202.45,910.35,156,89,78,195,125,56,699
